"_id","_index","_score","_type","书名","作者","出版日期","出版社","售价","译者","链接"
VNJKc3EBZhrcTXFrCuPO,"douban_book_top250",0,"_doc","傲慢与偏见","[英] 奥斯丁","1993-7","人民文学出版社","13.00元","张玲","https://book.douban.com/subject/1083428/"
VdJKc3EBZhrcTXFrCuPi,"douban_book_top250",0,"_doc","失踪的孩子:那不勒斯四部曲-04","[意] 埃莱娜·费兰特","2018-6-1","人民文学出版社",62,"陈英","https://book.douban.com/subject/30172069/"
VtJKc3EBZhrcTXFrCuP3,"douban_book_top250",0,"_doc","黄金时代:时代三部曲","王小波","1999-3","花城出版社","19.00元","-","https://book.douban.com/subject/1089243/"
"V9JKc3EBZhrcTXFrC-MN","douban_book_top250",0,"_doc","格林童话全集","[德国]格林兄弟","1994-11","人民文学出版社","21.45元","魏以新","https://book.douban.com/subject/1043008/"
"WNJKc3EBZhrcTXFrC-Mi","douban_book_top250",0,"_doc","我与地坛:史铁生代表作","史铁生","2002-5","春风文艺出版社","25.00元","-","https://book.douban.com/subject/1209899/"
"WdJKc3EBZhrcTXFrC-M4","douban_book_top250",0,"_doc","历史深处的忧虑:近距离看美国之一","林达","1997-5","生活·读书·新知三联书店","19.00元","-","https://book.douban.com/subject/1027191/"
"WtJKc3EBZhrcTXFrC-NN","douban_book_top250",0,"_doc","无人生还","[英] 阿加莎・克里斯蒂","2008-3","人民文学出版社","19.00","祁阿红","https://book.douban.com/subject/3006581/"
"W9JKc3EBZhrcTXFrC-Ni","douban_book_top250",0,"_doc","文学回忆录（全2册）:1989—1994","木心 口述","2013-1-10","广西师范大学出版社","98.00元","-","https://book.douban.com/subject/20440644/"
"XNJKc3EBZhrcTXFrC-N4","douban_book_top250",0,"_doc","神雕侠侣","金庸","1994-5","生活·读书·新知三联书店","76.80元","有1996年11月北平第4次印本","https://book.douban.com/subject/1255624/"
"XdJKc3EBZhrcTXFrC-OP","douban_book_top250",0,"_doc","史记（全十册）","司马迁","1982-11","中华书局","125.00","（索引）司马贞，（正义）张守节","https://book.douban.com/subject/1077847/"
"XtJKc3EBZhrcTXFrC-Oj","douban_book_top250",0,"_doc","上帝掷骰子吗:量子物理史话","曹天元","2006-1","辽宁教育出版社","32.00元","-","https://book.douban.com/subject/1467022/"
"X9JKc3EBZhrcTXFrC-O4","douban_book_top250",0,"_doc","艺术的故事","[英] 贡布里希 (Sir E.H.Gombrich)","2008-04","广西美术出版社","280.00","范景中","https://book.douban.com/subject/3162991/"
"YNJKc3EBZhrcTXFrC-PN","douban_book_top250",0,"_doc","悲惨世界（上中下）","[法] 雨果","1992-6","人民文学出版社","66.00元","李丹","https://book.douban.com/subject/1205054/"
"YdJKc3EBZhrcTXFrC-Pj","douban_book_top250",0,"_doc","许三观卖血记","余华","1998-9","南海出版公司","16.80元","-","https://book.douban.com/subject/1029791/"
"YtJKc3EBZhrcTXFrC-P4","douban_book_top250",0,"_doc","哭泣的骆驼","三毛","2003-6","哈尔滨出版社","15.80元","-","https://book.douban.com/subject/1029111/"
Y9JKc3EBZhrcTXFrDOMS,"douban_book_top250",0,"_doc","白鹿原:20周年精装典藏版","陈忠实","2012-9","人民文学出版社","39.00元","-","https://book.douban.com/subject/10564071/"
ZNJKc3EBZhrcTXFrDOMm,"douban_book_top250",0,"_doc","看见","柴静","2013-1-1","广西师范大学出版社","39.80元","-","https://book.douban.com/subject/20427187/"
ZdJKc3EBZhrcTXFrDOM8,"douban_book_top250",0,"_doc","浪潮之巅","吴军","2011-8","电子工业出版社","55.00元","-","https://book.douban.com/subject/6709783/"
ZtJKc3EBZhrcTXFrDONS,"douban_book_top250",0,"_doc","灿烂千阳","[美] 卡勒德·胡赛尼","2007-9","上海人民出版社","28.00元","李继宏","https://book.douban.com/subject/2143732/"
Z9JKc3EBZhrcTXFrDONn,"douban_book_top250",0,"_doc","卡拉马佐夫兄弟","[俄] 费奥多尔·陀思妥耶夫斯基","2006-8","上海译文出版社","25.00元","荣如德","https://book.douban.com/subject/1856494/"
